, 1, Wellington Pereira Santos, wellingtonps@senaimg.com.br, (31) 98653-1289, 098.567.620-67, 14/02/2000, Ryzen 5 4650Ge / Cooler Max RGB / Mouse Superlight Pro X Logitech
, 2, Roberto Cauà Levi Almada, robertocauealmada@paulistadovale.org.br, (98) 2843-1860, 816.594.613-75, 24/03/2003, Processador Core i5 / Placa M∆e TUF GAMING / Mouse Logitech 
, 3, Tom†s M†rio Arag∆o, tomasmarioaragao@segplanet.com.br, (21) 2936-4620, 091.276.967-07, 08/01/2002, Headset ReDragon Zeus / Mouse ReDragon Cobra / HD Externo Seagate
, 4, Arthur Enrico da Conceiá∆o, arthur-daconceiácao98@outershoes.com.br, (21) 99860-2150, 449.996.447-46, 25/04/2002, Memoria Corsair / Mouse ReDragon Lonewolf / Placa de V°deo NVIDIA
, 5, Ben°cio Henrique Ramos, benicio_ramos@alwan.com.br, (21) 98782-6874, 618.753.237-67, 09/04/2001, Memoria Crucial Ballistix / Processador AMD / SSD A400
, 6, Igor Thales Isaac Moura, igor-moura88@zoomfoccus.com.br, (21) 98509-5203, 216.827.987-04, 27/02/1999, HD Externo Port†til / Mouse gamer Redragon / Headset Gamer Redragon
, 7, Martin Victor Jorge Lopes, martinlopes24@desari.com.br, (65) 99457-6528, 012.941.857-99, 22/09/1996, Mouse sem fio / SSD A400 / Memoria Corsair
, 8, Teresinha Isabelle Sueli Pires, teresinhapires@seraobenedito.com.br, (98) 3704-4477, 145.802.587-43, 26/08/1993, Placa de V°deo AMD
, 9, Beatriz Tatiane Monteiro, beatriz_monteiro@unidademovel.com, (26) 99239-3800, 200.440.533-39, 10/02/2004, Placa m∆e Gigabyte / Processador Core i5 / Processador AMD 
, 10, Barbara Tereza Isis Moura , barbaraamoura@rizan.com.br, (76) 99151-2278, 080.624.313-98, 06/09/2000, Processador Core i9 / Placa M∆e Z690 / Memoria Corsair RGB PRO / Processador AMD Ryzen
, 11, Joana Aline Nascimento, joana.aline.nascimento@iaru.com, (91) 98175-9208, 324.474.694-20, 08/04/2006, Placa M∆e gigabyte B450m / Asus TUF B360M / Memoria Ddr4 Corsair
, 12, Melissa Rebeca da Cruz, melissa_rebeca_dacruz@siemens.com, (76) 99439-0642, 459.238.314-14, 24/03/2004, 
, 13, Sarah DÇbora Luna dos Santos, sarah_debora_dossantos@accent.com.br, (54) 2542-8631, 867.393.844-95, 23/01/2003, HD Externo Seagate / Headset Gamer Redragon
, 14, Malu Isabella da Paz, malupaz@tuds.com.br, (53) 8675-8431, 554.647.987-51, 09/10/1998, 
, 15, Isadora Luiza Ribeiro, isadoraluizaribeiro@zuinzuin.com.br, (87) 99865-0876, 668.277.944-69, 12/03/2002, Headphone Gamer Redragon Hylas / Mouse gamer 3200dpi
