, 1, Marcelo Ferreira, Seagate,HD 1TB / SSD 256GB / SSD 1TB, 100 / 100 / 100, 14.315.502/0002-05, mferreira@seagate.com.br
, 2, Hugo Barcelos Guimar∆es, Intel, Processador, 100, 17.469.738/0001-03, barceloshugo@intelbr.com.br
, 3, Maria Hidalina Gomes de Freitas, AMD, Processador, 100, 16.399.614/0001-28, maria.freitas@amd.com.br
, 4, JosÇ Marcos Camargo, Gigabyte,Placa M∆e / Teclado, 100, 97.434.358/0001-64, marcoscamargo@gigabyte.com.br
, 5, Gabriela Vitoria Barcelos, Asus, Placa M∆e / Placa de V°deo / Teclado, 100 / 100 / 100, 28.902.180/0001-16, gabrielavitoria@asusbr.com.br
, 6, Felipe Augusto Lima, AMD, Placa de V°deo, 100, 65.296.793/0001-83, augustofelipelima@amdbrasil.com.br
, 7, Helo°sa Fernandez de Jesus, NVIDIA, Placa de V°deo, 100, 95.119.135/0001-87, helofernandez@nvidia.com.br
, 8, Sergio Alvez de Freitas Abr∆o, Corsair, Headset / Mem¢ria RAM, 100 / 100, 32.327.752/0001-58, freitasabrao@corsair.com.br
, 9, J£lia de Amorim Costa, Crucial Ballistix, Mem¢ria RAM / SSD, 100 / 100, 12.298.456/0001-76, juliamorim@crucial.com.br
, 10, Carlo Santana Almeida, Kingston, SSD, 100, 94.123.456/0001-45, carlo.almeida@kingston.com.br
, 11, Nayara Veloso Costa, Hikvision, SSD, 100, 09.734.987/0001-72, nayaraveloso@hikvision.com.br
, 12, Isabela Bianca Gomes, Redragon, Microfone / Mouse, 100 / 100,98.642.901/0001-99, isabela.gomes@redragon.com.br
, 13, Karine Almeida Feliciano, Redragon, Mousepad / Headset, 100 / 100, 87.562.908/0001-43, karinefeliciano@redragon.com.br
, 14, Mateus Guilherme Bicalho, Logitech, Mouse / Teclado, 100 / 100, 98.235.987/0001-65, mateus.bicalho@logitech.com.br
, 15,Leandro Juvelino Costa, LG, Monitor , 100, 97.984.431/0001-73, juvelinoleandro@lgbrasil.com.br
, 16, Vitoria Barbosa Souza, Samsung, Monitor, 100, 54.820.042/0001-53, vitoria.souza@samsung.com.br
